aa_player,aa_player_id,aa_player_team_id,aa_team,aa_team_id,action_area,action_area_id,action_area_injurytime_play,time_slice_id,time_slice_name,competition,kickoff,match_id
1,2074,309,3,309,"
            ",11,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",17,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,82,49,1,49,"
            ",7,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,3,309,"
            ",10,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
2,905,49,5,49,"
            ",9,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,2,309,"
            ",12,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",6,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,82,49,2,49,"
            ",8,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,3,49,"
            ",4,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,2,49,"
            ",5,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",2,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,8206,309,1,309,"
            ",3,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,1,309,"
            ",18,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",14,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,583,49,1,49,"
            ",15,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,2,309,"
            ",16,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934
1,8206,309,3,309,"
            ",12,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
2,10560,49,4,49,"
            ",6,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,8,309,"
            ",11,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
2,729,49,7,49,"
            ",10,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,905,49,2,49,"
            ",9,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
2,544,49,2,49,"
            ",1,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,2074,309,2,309,"
            ",2,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,2,49,"
            ",7,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,4,309,"
            ",3,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,2074,309,1,309,"
            ",5,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,2,49,"
            ",14,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,1,49,"
            ",4,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,2,309,"
            ",10,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
2,82,49,2,49,"
            ",7,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,2,49,"
            ",2,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,1,49,"
            ",3,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",4,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,1,309,"
            ",16,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,1,309,"
            ",17,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,2,309,"
            ",11,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,8206,309,3,309,"
            ",12,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",6,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,7,49,"
            ",9,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,1,49,"
            ",15,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,2,49,"
            ",8,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934
2,8206,309,2,309,"
            ",8,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,4,49,"
            ",7,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",13,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,3,309,"
            ",14,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,583,49,6,49,"
            ",15,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,4,309,"
            ",9,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
2,11309,309,1,309,"
            ",3,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",2,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,8206,309,1,309,"
            ",10,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,13,49,"
            ",11,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
4,15004,309,4,309,"
            ",12,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,3,49,"
            ",4,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,1,309,"
            ",6,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,2074,309,1,309,"
            ",5,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,2,309,"
            ",16,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,1,49,"
            ",18,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,2,49,"
            ",16,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,4,49,"
            ",15,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
2,905,49,3,49,"
            ",9,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
3,544,49,3,49,"
            ",4,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,3,49,"
            ",17,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
3,12372,309,5,309,"
            ",12,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
2,2948,49,6,49,"
            ",10,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",5,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,2,49,"
            ",6,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,12,49,"
            ",11,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",3,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",8,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,2948,49,1,49,"
            ",2,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,8088,309,1,309,"
            ",1,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,1,49,"
            ",11,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,4,309,"
            ",12,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,1,49,"
            ",5,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
3,10560,49,3,49,"
            ",18,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,3,49,"
            ",6,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,4,49,"
            ",4,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,2,49,"
            ",10,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,2,49,"
            ",16,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",9,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,729,49,2,49,"
            ",3,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",7,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,15280,309,2,309,"
            ",14,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,8206,309,1,309,"
            ",15,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,87,49,1,49,"
            ",17,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,925,49,1,49,"
            ",8,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,3,49,"
            ",8,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,6,309,"
            ",16,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934
