ap_itp_result,ap_itp_result_assists,ap_itp_result_completed,ap_itp_result_failed,ap_itp_result_headed,ap_itp_result_longball,ap_itp_result_team_id,ap_itp_result_through_ball,ap_itp_result_throw_ins,ap_result,ap_result_assists,ap_result_completed,ap_result_failed,ap_result_headed,ap_result_longball,ap_result_team_id,ap_result_through_ball,ap_result_throw_ins,assists,event,event_a,event_action_type,event_injurytime_play,event_k,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_throw_ins,event_type,headed,long_ball,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,4,297,10504,57,309,0,completed,true,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,26.0,45.7,25.3,10.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,3,218,8206,38,309,0,completed,true,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,63.9,52.5,56.5,70.3
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,179,729,59,49,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,80.4,3.1,64,39.4
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,177,583,57,49,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,63.9,40.0,68.3,69.1
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,162,905,42,49,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,18.7,42.8,39.3,32.4
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,160,925,40,49,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,39.3,32.4,45.1,49.9
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,158,2948,38,49,0,completed,,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,45.1,50.0,62.9,10.3
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,155,544,35,49,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,62.9,10.3,69.8,3.5
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,154,10955,34,49,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,69.8,3.5,70.4,11.4
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,153,544,33,49,1,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,70.4,11.3,69.7,0
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,2,142,87,22,49,0,completed,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,69.2,8.3,60.9,12.5
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,1,116,2074,56,309,0,completed,,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,66.0,91.5,31.6,95.1
