action_type,coordinates,headed,injurytime_play,mins,minsec,player_id,secs,shot,shot_player,shot_team,swere,team_id,type,competition,kickoff,match_id,end_x,end_y,loc_x,loc_y,middle_x,middle_y,start_x,start_y
Defense,,,,7,-1,729,45,true,,,,49,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,10.1,25.8,,,,
Attack,,true,,8,533,7969,53,,87,49,,309,blocked_shot,data/epl,2017-09-11 20:00:00 +0100,32934,91.3,54.6,,,0,0,92.7,54.3
,,,,11,-1,12372,54,true,,,,309,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,68.7,97.5,,,,
,,,,19,-1,10955,52,true,,,,49,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,28.5,47.6,,,,
,,,,18,-1,729,28,true,,,,49,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,37.7,7.7,,,,
Defense,,,,19,-1,2948,26,true,,,,49,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,16.6,81.7,,,,
,,,,24,-1,15280,14,true,,,,309,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,25.9,2.8,,,,
Defense,,,,23,-1,15280,45,true,,,,309,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,24.5,2.9,,,,
Defense,,,,23,-1,2074,21,true,,,,309,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,22.7,81.4,,,,
Defense,,,,22,-1,8088,39,true,,,,309,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,3.8,95.4,,,,
Defense,,,,28,-1,12372,14,true,,,,309,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,2.7,84.7,,,,
Attack,,true,,28,1733,20871,53,,87,49,,309,blocked_shot,data/epl,2017-09-11 20:00:00 +0100,32934,92.4,59.4,,,0,0,93.6,57.9
,,,,31,-1,7969,52,true,,,,309,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,28.3,65.1,,,,
,,,,31,-1,544,8,true,,,,49,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,74.6,4.4,,,,
Attack,,,,36,2195,20871,35,true,10955,49,,309,blocked_shot,data/epl,2017-09-11 20:00:00 +0100,32934,77,38.8,,,0,0,80.6,40.4
Attack,,,,35,2117,12372,17,true,87,49,,309,blocked_shot,data/epl,2017-09-11 20:00:00 +0100,32934,68.2,68.5,,,0,0,71.4,66.4
Attack,,,1,45,2812,925,0,true,10072,309,,49,blocked_shot,data/epl,2017-09-11 20:00:00 +0100,32934,85.1,31.8,,,0,0,87.7,34.5
,,,,45,-1,2948,18,true,,,,49,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,56.3,70.5,,,,
Defense,,,,52,-1,544,59,true,,,,49,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,24.4,8,,,,
,,,,58,-1,2948,16,true,,,,49,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,46.3,29.7,,,,
Attack,,,,59,3581,20871,41,true,10955,49,,309,blocked_shot,data/epl,2017-09-11 20:00:00 +0100,32934,78.2,26.8,,,0,0,79.7,28
Defense,,,,60,-1,544,52,true,,,,49,blocked_cross,data/epl,2017-09-11 20:00:00 +0100,32934,,,18.5,16.2,,,,
Attack,,,,61,3665,729,5,true,10072,309,,49,blocked_shot,data/epl,2017-09-11 20:00:00 +0100,32934,71.9,53.4,,,0,0,77.6,53.1
,,,,71,-1,9470,34,true,,,,49,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,83,4,,,,
,,,,70,-1,12372,4,true,,,,309,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,53.1,9.2,,,,
,,,,75,-1,20871,21,true,,,,309,blocked_pass,data/epl,2017-09-11 20:00:00 +0100,32934,,,84.2,5.3,,,,
