cl_itp_result,cl_itp_result_failed,cl_itp_result_headed,cl_itp_result_success,cl_itp_result_team_id,cl_result,cl_result_failed,cl_result_headed,cl_result_success,cl_result_team_id,event,event_action_type,event_injurytime_play,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_type,headed,time_slice_id,time_slice_name,competition,kickoff,match_id,loc_x,loc_y
,,,,,,,,,,"
            ",Defense,,2,171,7969,51,309,headed,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,25.3,29.1
,,,,,,,,,,"
            ",Defense,,1,60,10504,0,309,headed,true,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,9.2,44.2
,,,,,0/0,0,0,0,49,,,,,,,,,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,2/2,0,2,0,309,,,,,,,,,,,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,7,465,729,45,49,success,false,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,10.1,25.8
,,,,,,,,,,"
            ",Defense,,9,570,8206,30,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,3.7,56.6
,,,,,,,,,,"
            ",Defense,,8,535,2074,55,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,2.9,60
,,,,,,,,,,"
            ",Defense,,8,514,7969,34,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,19.1,31.9
,,,,,,,,,,"
            ",Defense,,5,305,7969,5,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,16.2,45.4
,,,,,,,,,,"
            ",Defense,,5,303,20871,3,309,headed,true,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,15.2,53.1
,,,,,1/1,0,0,1,49,,,,,,,,,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,5/5,0,5,0,309,,,,,,,,,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,13,780,8206,0,309,success,false,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,7.2,55.8
,,,,,,,,,,"
            ",Defense,,12,731,7969,11,309,success,false,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,7.1,57.5
,,,,,,,,,,"
            ",Defense,,11,691,7969,31,309,success,false,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,23.7,43.7
,,,,,,,,,,"
            ",Defense,,12,735,20871,15,309,headed,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,4.2,67
,,,,,0/0,0,0,0,49,,,,,,,,,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,4/4,0,1,3,309,,,,,,,,,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,19,1190,925,50,49,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,10.4,69.6
,,,,,,,,,,"
            ",Defense,,19,1166,2948,26,49,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,16.6,81.7
,,,,,,,,,,"
            ",Defense,,19,1143,905,3,49,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,10.8,57.8
,,,,,,,,,,"
            ",Defense,,18,1102,20871,22,309,success,false,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,21.6,62
,,,,,,,,,,"
            ",Defense,,17,1058,20871,38,309,headed,true,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,48.8
,,,,,,,,,,"
            ",Defense,,16,969,544,9,49,headed,true,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,47.7,24.1
,,,,,4/4,0,1,3,49,,,,,,,,,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,2/2,0,1,1,309,,,,,,,,,,,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,23,1425,15280,45,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,24.5,2.9
,,,,,,,,,,"
            ",Defense,,23,1401,2074,21,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,22.7,81.4
,,,,,,,,,,"
            ",Defense,,22,1359,8088,39,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,3.8,95.4
,,,,,,,,,,"
            ",Defense,,22,1335,7969,15,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,26.1,45.1
,,,,,,,,,,"
            ",Defense,,21,1292,10560,32,49,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,41.5,94.5
,,,,,,,,,,"
            ",Defense,,20,1230,7969,30,309,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,18.9,52.8
,,,,,,,,,,"
            ",Defense,,20,1208,9470,8,49,success,false,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,25.2,42.4
,,,,,,,,,,"
            ",Defense,,23,1395,20871,15,309,headed,true,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,12.5,53.1
,,,,,,,,,,"
            ",Defense,,22,1327,20871,7,309,headed,true,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,28.8,52.2
,,,,,2/2,0,0,2,49,,,,,,,,,,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,7/7,0,2,5,309,,,,,,,,,,,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,29,1764,11309,24,309,success,false,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,4.9,42.2
,,,,,,,,,,"
            ",Defense,,28,1694,12372,14,309,success,false,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,2.7,84.7
,,,,,,,,,,"
            ",Defense,,27,1624,925,4,49,success,false,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,11.5,67.2
,,,,,,,,,,"
            ",Defense,,29,1779,11309,39,309,headed,true,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,13.4,54.9
,,,,,,,,,,"
            ",Defense,,29,1778,7969,38,309,headed,true,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,15,53.7
,,,,,,,,,,"
            ",Defense,,29,1768,20871,28,309,headed,true,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,8,72.3
,,,,,1/1,0,0,1,49,,,,,,,,,,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,5/5,0,3,2,309,,,,,,,,,,,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,34,2064,729,24,49,headed,true,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,21.5,39.1
,,,,,,,,,,"
            ",Defense,,33,2002,20871,22,309,headed,true,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,9.9,61.1
,,,,,1/1,0,1,0,49,,,,,,,,,,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,1/1,0,1,0,309,,,,,,,,,,,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,,
,,,,,,,,,,"
            ",Defense,,39,2373,7969,33,309,headed,true,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,53.1
,,,,,,,,,,"
            ",Defense,,37,2227,20871,7,309,headed,true,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,10.1,58.4
,,,,,,,,,,"
            ",Defense,,35,2157,7969,57,309,headed,true,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,14.5,46.3
