event,event_mins,event_minsec,event_player_id,event_secs,event_team,event_type,swere,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
"
            ",9,568,10560,28,49,Failed,inward,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,95.4,43.6,99.5,0.5
"
            ",12,779,10560,59,49,Failed,inward,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,92.4,43.7,99.5,0.5
"
            ",23,1394,10560,14,49,Failed,inward,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,87.6,54.9,99.5,0.5
"
            ",28,1730,10560,50,49,Assist,inward,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,92.4,59.4,99.6,0.7
"
            ",29,1762,10560,22,49,Failed,outward,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,96.1,59.4,99.5,99.5
"
            ",35,2147,10560,47,49,Failed,outward,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,96.0,59.0,99.4,99.1
"
            ",37,2224,10560,4,49,Failed,outward,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,90.0,43.9,99.4,99.1
"
            ",58,3531,10560,51,49,Failed,outward,12,55 - 60,data/epl,2017-09-11 20:00:00 +0100,32934,90.9,59.2,99.9,99.1
"
            ",60,3621,11309,21,309,Completed,outward,13,60 - 65,data/epl,2017-09-11 20:00:00 +0100,32934,93.7,32.7,99.5,0.5
"
            ",68,4135,10560,55,49,Failed,inward,14,65 - 70,data/epl,2017-09-11 20:00:00 +0100,32934,95.7,52.6,99.4,0.3
"
            ",76,4605,10560,45,49,Assist,inward,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,95.7,44.8,99.5,0.5
"
            ",79,4778,11309,38,309,Assist,outward,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934,87.7,58.2,99.5,0.5
"
            ",80,4833,11309,33,309,Completed,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934,86.7,80.3,99.5,99.5
