injurytime_play,k,mins,minsec,player_id,secs,team,type,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,0,59,10560,59,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,91.2,56.1,77.6,96.4
,1,3,182,544,2,49,Assist,data/epl,2017-09-11 20:00:00 +0100,32934,84.9,54.5,83.6,3.5
,,7,465,10072,45,309,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,90.0,71.5,89.7,73.4
,1,8,530,583,50,49,Assist,data/epl,2017-09-11 20:00:00 +0100,32934,91.3,54.6,91.2,3.5
,,9,568,10560,28,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,95.4,43.6,99.5,0.5
,,12,779,10560,59,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,92.4,43.7,99.5,0.5
,,19,1141,10504,1,309,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,87.9,44.2,80.1,7.7
,,19,1166,15280,26,309,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,81.3,14.7,79.3,12.8
,,19,1187,10504,47,309,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,90.4,27.7,92.0,2.2
,,20,1201,8088,1,309,Completed,data/epl,2017-09-11 20:00:00 +0100,32934,86.2,53.7,84.4,90.3
,,22,1359,729,39,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,90.9,10.0,90.4,6.2
,,23,1394,10560,14,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,87.6,54.9,99.5,0.5
,,23,1401,10560,21,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,82.1,17.3,81.2,12.5
,,23,1425,10560,45,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,72.1,96.0,71.7,97.3
,1,25,1553,10560,53,49,Assist,data/epl,2017-09-11 20:00:00 +0100,32934,92.1,45.7,90.5,87.8
,,27,1622,15280,2,309,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,88.4,36.3,79.5,2.9
,,28,1694,10955,14,49,Failed,data/epl,2017-09-11 20:00:00 +0100,32934,96.9,17.6,97.1,7.7
