action_type,assist_1,coordinates,headed,injurytime_play,mins,minsec,passlinks,player_id,secs,shot,swere,team_id,type,uid,competition,kickoff,match_id,end_x,end_y,middle_x,middle_y,start_x,start_y
Attack,,,,,3,185,,87,5,true,,49,off_target,,data/epl,2017-09-11 20:00:00 +0100,32934,84.9,54.5,,,38.3,84.7
Attack,,,,,1,71,,87,11,true,,49,off_target,,data/epl,2017-09-11 20:00:00 +0100,32934,93.3,71.7,,,19.3,2.8
Attack,,,true,,8,533,,87,53,,,49,blocked,,data/epl,2017-09-11 20:00:00 +0100,32934,91.3,54.6,0,0,92.7,54.3
Attack,,,,,12,732,,583,12,true,,49,wood_work,,data/epl,2017-09-11 20:00:00 +0100,32934,88.9,56.4,,,52.2,39.2
Attack,,,,,20,1232,,87,32,true,,49,save,,data/epl,2017-09-11 20:00:00 +0100,32934,76.2,48.4,52.5,1.3,98.1,50.2
Attack,,,,,29,1780,,729,40,true,,49,off_target,,data/epl,2017-09-11 20:00:00 +0100,32934,77.6,38.9,,,49.9,91.7
Attack,,,true,,25,1554,,925,54,,,49,off_target,,data/epl,2017-09-11 20:00:00 +0100,32934,93.3,46.0,,,85.2,5.6
Attack,,,true,,28,1733,,87,53,,,49,blocked,,data/epl,2017-09-11 20:00:00 +0100,32934,92.4,59.4,0,0,93.6,57.9
Attack,,,,,39,2375,,9470,35,true,,49,off_target,,data/epl,2017-09-11 20:00:00 +0100,32934,86.4,55.2,,,29.7,5.6
Attack,,,,,36,2195,,10955,35,true,,49,blocked,,data/epl,2017-09-11 20:00:00 +0100,32934,77.0,38.8,0,0,80.6,40.4
Attack,,,,,35,2117,,87,17,true,,49,blocked,,data/epl,2017-09-11 20:00:00 +0100,32934,68.2,68.5,0,0,71.4,66.4
Attack,,,,0,42,2529,,10560,9,true,right,49,off_target,,data/epl,2017-09-11 20:00:00 +0100,32934,69.2,45.4,,,40.3,55.6
Attack,,,,1,45,2812,,10072,0,true,,309,blocked,,data/epl,2017-09-11 20:00:00 +0100,32934,85.1,31.8,0,0,87.7,34.5
Attack,,,,,47,2827,,583,7,true,left,49,off_target,,data/epl,2017-09-11 20:00:00 +0100,32934,73.6,47.8,,,39.2,52.8
Attack,,,,,53,3220,,12372,40,true,,309,save,,data/epl,2017-09-11 20:00:00 +0100,32934,71.0,58.1,48.4,2.5,98.4,50.5
