action_type,injurytime_play,mins,minsec,otherplayer,player_id,secs,team_id,competition,kickoff,match_id,loc_x,loc_y
Possession,,2,170,87,7969,50,309,data/epl,2017-09-11 20:00:00 +0100,32934,25.1,29.7
Possession,,1,118,729,8206,58,309,data/epl,2017-09-11 20:00:00 +0100,32934,64.2,93.3
Possession,,8,532,7969,87,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,89.2,49.4
Possession,,7,434,20871,87,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,67.3,41.0
Possession,,6,372,20871,87,12,49,data/epl,2017-09-11 20:00:00 +0100,32934,76.3,45.7
Possession,,5,307,10072,9470,7,49,data/epl,2017-09-11 20:00:00 +0100,32934,65.6,48.4
Possession,,11,689,20871,87,29,49,data/epl,2017-09-11 20:00:00 +0100,32934,69.5,39.7
Possession,,18,1100,12372,87,20,49,data/epl,2017-09-11 20:00:00 +0100,32934,69.4,31.5
Possession,,17,1057,10955,20871,37,309,data/epl,2017-09-11 20:00:00 +0100,32934,25.2,50.6
Possession,,16,967,8206,544,7,49,data/epl,2017-09-11 20:00:00 +0100,32934,47.8,25.5
Possession,,22,1336,15280,10560,16,49,data/epl,2017-09-11 20:00:00 +0100,32934,65.7,73.6
Possession,,22,1334,583,7969,14,309,data/epl,2017-09-11 20:00:00 +0100,32934,25.2,43.5
Possession,,22,1328,12372,87,8,49,data/epl,2017-09-11 20:00:00 +0100,32934,73.4,41.6
Possession,,22,1326,9470,20871,6,309,data/epl,2017-09-11 20:00:00 +0100,32934,29.5,54.6
Possession,,20,1228,20871,87,28,49,data/epl,2017-09-11 20:00:00 +0100,32934,69.8,40.5
Possession,,28,1732,20871,87,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,92.3,57.0
Possession,,34,2063,8206,729,23,49,data/epl,2017-09-11 20:00:00 +0100,32934,21.0,39.2
Possession,,33,1993,87,20871,13,309,data/epl,2017-09-11 20:00:00 +0100,32934,26.6,58.4
Possession,,33,1988,2948,10072,8,309,data/epl,2017-09-11 20:00:00 +0100,32934,38.8,44.3
Possession,,32,1972,8088,10560,52,49,data/epl,2017-09-11 20:00:00 +0100,32934,58.5,96.8
Possession,,31,1908,20871,87,48,49,data/epl,2017-09-11 20:00:00 +0100,32934,57.1,32.7
Possession,,30,1857,2948,8206,57,309,data/epl,2017-09-11 20:00:00 +0100,32934,60.8,4.2
Possession,,30,1819,8088,925,19,49,data/epl,2017-09-11 20:00:00 +0100,32934,55.5,63.6
Possession,,39,2372,87,7969,32,309,data/epl,2017-09-11 20:00:00 +0100,32934,6.4,52.8
Possession,,37,2239,10504,729,19,49,data/epl,2017-09-11 20:00:00 +0100,32934,92.7,75.3
Possession,,37,2226,87,20871,6,309,data/epl,2017-09-11 20:00:00 +0100,32934,9.7,57.6
Possession,,35,2156,15280,544,56,49,data/epl,2017-09-11 20:00:00 +0100,32934,76.2,45.5
Possession,,35,2148,583,8206,48,309,data/epl,2017-09-11 20:00:00 +0100,32934,4.6,41.8
Possession,,35,2113,20871,87,13,49,data/epl,2017-09-11 20:00:00 +0100,32934,65.7,57.7
Possession,1,45,2772,15280,544,0,49,data/epl,2017-09-11 20:00:00 +0100,32934,47.1,5.1
Possession,1,45,2718,7969,87,0,49,data/epl,2017-09-11 20:00:00 +0100,32934,75.2,71.4
Possession,,47,2867,8206,925,47,49,data/epl,2017-09-11 20:00:00 +0100,32934,34.6,76.5
Possession,,47,2862,8206,925,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,76.3
Possession,,45,2708,10955,7969,8,309,data/epl,2017-09-11 20:00:00 +0100,32934,39.6,28.7
Possession,,54,3280,583,10504,40,309,data/epl,2017-09-11 20:00:00 +0100,32934,37.1,2.7
Possession,,59,3574,2074,544,34,49,data/epl,2017-09-11 20:00:00 +0100,32934,70.2,12.0
Possession,,59,3545,544,7969,5,309,data/epl,2017-09-11 20:00:00 +0100,32934,25.6,91.8
Possession,,56,3393,7969,87,33,49,data/epl,2017-09-11 20:00:00 +0100,32934,60.4,65.4
Possession,,64,3874,925,8206,34,309,data/epl,2017-09-11 20:00:00 +0100,32934,63.0,30.4
Possession,,64,3870,10504,87,30,49,data/epl,2017-09-11 20:00:00 +0100,32934,56.7,94.6
Possession,,61,3700,11309,9470,40,49,data/epl,2017-09-11 20:00:00 +0100,32934,66.2,65.7
Possession,,60,3627,10072,925,27,49,data/epl,2017-09-11 20:00:00 +0100,32934,17.0,51.6
Possession,,68,4137,729,15004,57,309,data/epl,2017-09-11 20:00:00 +0100,32934,3.0,33.3
Possession,,68,4088,10955,20871,8,309,data/epl,2017-09-11 20:00:00 +0100,32934,32.3,58.6
Possession,,84,5099,1174,23637,59,309,data/epl,2017-09-11 20:00:00 +0100,32934,55.2,4.5
Possession,,84,5077,10504,15035,37,49,data/epl,2017-09-11 20:00:00 +0100,32934,63.0,96.6
Possession,,83,4985,10560,19189,5,309,data/epl,2017-09-11 20:00:00 +0100,32934,40.2,3.4
Possession,,80,4814,8206,905,14,49,data/epl,2017-09-11 20:00:00 +0100,32934,11.0,39.4
Possession,0,89,5361,10955,20871,21,309,data/epl,2017-09-11 20:00:00 +0100,32934,27.8,70.6
Possession,0,87,5250,1174,7969,30,309,data/epl,2017-09-11 20:00:00 +0100,32934,26.2,51.0
Possession,0,86,5213,15035,20871,53,309,data/epl,2017-09-11 20:00:00 +0100,32934,53.4,92.6
Possession,0,86,5202,19189,905,42,49,data/epl,2017-09-11 20:00:00 +0100,32934,25.1,45.2
Possession,0,86,5181,19189,905,21,49,data/epl,2017-09-11 20:00:00 +0100,32934,9.6,55.4
Possession,0,85,5150,10955,20871,50,309,data/epl,2017-09-11 20:00:00 +0100,32934,50.2,58.2
Possession,0,85,5145,19189,905,45,49,data/epl,2017-09-11 20:00:00 +0100,32934,22.4,61.4
Possession,1,90,5607,7969,15035,0,49,data/epl,2017-09-11 20:00:00 +0100,32934,73.4,94.2
Possession,1,90,5578,1174,7969,0,309,data/epl,2017-09-11 20:00:00 +0100,32934,33.8,5.3
