age,bmi,country,dob,first_name,height,id,last_name,name,photo,position,profile_url,shirt_num,state,surname,team_id,team_name,total_influence,weight,x_loc,y_loc,competition,kickoff,match_id
29,24.1,New Zealand,03/07/1988,Winston,190,905,Reid,Winston Reid,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p905c49j2.jpg,Defender,http://www.squawka.com/players/winston-reid/stats,2,playing,Winston Reid,49,West Ham,18,87,25,50,data/epl,2017-09-11 20:00:00 +0100,32934
28,22.8,England,15/12/1989,Aaron,170,10560,Cresswell,Aaron Cresswell,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p10560c49j3.jpg,Defender,http://www.squawka.com/players/aaron-cresswell-cresswell/stats,3,playing,Aaron Cresswell,49,West Ham,-5,66,52,85,data/epl,2017-09-11 20:00:00 +0100,32934
34,23.2,Portugal,22/12/1983,José Miguel,187,729,da Rocha Fonte,José Fonte,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p729c49j4.jpg,Defender,http://www.squawka.com/players/jose-fonte/stats,4,playing,José Fonte,49,West Ham,8,81,25,25,data/epl,2017-09-11 20:00:00 +0100,32934
33,23.9,Argentina,16/01/1985,Pablo,176,544,Zabaleta,Pablo Zabaleta,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p544c37j5.jpg,Defender,http://www.squawka.com/players/pablo-zabaleta/stats,5,playing,Zabaleta,49,West Ham,-8,74,52,15,data/epl,2017-09-11 20:00:00 +0100,32934
28,23.2,Senegal,21/12/1989,Cheikhou,189,9470,Kouyaté,Cheikhou Kouyaté,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p9470c49j8.jpg,Midfielder,http://www.squawka.com/players/cheikhou-kouyate/stats,8,playing,Kouyaté,49,West Ham,-1,83,45,37,data/epl,2017-09-11 20:00:00 +0100,32934
29,21.2,England,06/01/1989,Andy,193,87,Carroll,Andy Carroll,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p87c49j9.jpg,Forward,http://www.squawka.com/players/andy-carroll/stats,9,playing,Andy Carroll,49,West Ham,31,79,80,50,data/epl,2017-09-11 20:00:00 +0100,32934
31,22.2,Spain,03/01/1987,Adrián,190,1557,San Miguel del Castillo,Adrián,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p1557c49j13.jpg,Goalkeeper,http://www.squawka.com/players/adrian/stats,13,bench,San Miguel del Castillo,49,West Ham,0,80,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
25,21.9,Spain,27/03/1992,Pedro,185,2948,Obiang,Pedro Obiang,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p2948c49j14.jpg,Midfielder,http://www.squawka.com/players/pedro-obiang/stats,14,playing,Pedro Obiang,49,West Ham,50,75,45,62,data/epl,2017-09-11 20:00:00 +0100,32934
28,23.3,Senegal,24/12/1989,Diafra,184,15035,Sakho,Diafra Sakho,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p15035c49j15.jpg,Forward,http://www.squawka.com/players/diafra-sakho/stats,15,bench,Diafra Sakho,49,West Ham,2,79,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
29,23.8,Mexico,01/06/1988,Javier,175,583,Hernández Balcázar,Chicharito,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p583c49j17.jpg,Forward,http://www.squawka.com/players/chicharito/stats,17,playing,Hernández Balcázar,49,West Ham,3,73,75,75,data/epl,2017-09-11 20:00:00 +0100,32934
