event,event_action_type,event_injurytime_play,event_mins,event_minsec,event_player_id,event_secs,event_team,event_type,tackler,tackler_team,time_slice_id,time_slice_name,competition,kickoff,match_id,loc_x,loc_y
"
            ",Defense,,0,26,10072,26,309,Failed,925,49,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,40.6,69.6
"
            ",Defense,,2,144,10955,24,49,Success,7969,309,1,0 - 5,data/epl,2017-09-11 20:00:00 +0100,32934,29.6,90.2
"
            ",Defense,,5,312,8088,12,309,Failed,9470,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,61.4,11.8
"
            ",Defense,,5,314,8088,14,309,Fouled,10955,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,47.3,23.2
"
            ",Defense,,5,337,8088,37,309,Success,729,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,39.8,16.8
"
            ",Defense,,5,340,544,40,49,Fouled,8088,309,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,64.3,82.6
"
            ",Defense,,6,376,8088,16,309,Failed,544,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,75.7,24.5
"
            ",Defense,,6,381,8088,21,309,Fouled,583,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,66.6,52.8
"
            ",Defense,,7,451,11309,31,309,Failed,2948,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,39.3,14.2
"
            ",Defense,,7,460,11309,40,309,Failed,544,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,19.4,8.9
"
            ",Defense,,7,463,10072,43,309,Failed,729,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,13.8,28.0
"
            ",Defense,,8,526,8088,46,309,Success,544,49,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,96.9,5.7
"
            ",Defense,,13,785,15280,5,309,Fouled,87,49,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,76.0,80.0
"
            ",Defense,,16,972,20871,12,309,Fouled,10955,49,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,71.7,3.0
"
            ",Defense,,16,1018,15280,58,309,Success,9470,49,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,48.2,66.2
"
            ",Defense,,18,1136,583,56,49,Success,11309,309,4,15 - 20,data/epl,2017-09-11 20:00:00 +0100,32934,61.5,7.8
"
            ",Defense,,21,1295,9470,35,49,Fouled,11309,309,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,56.2,18.9
"
            ",Defense,,24,1487,10955,47,49,Fouled,7969,309,5,20 - 25,data/epl,2017-09-11 20:00:00 +0100,32934,10.6,13.5
"
            ",Defense,,26,1604,583,44,49,Success,12372,309,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,34.9,29.4
"
            ",Defense,,28,1692,10955,12,49,Failed,2074,309,6,25 - 30,data/epl,2017-09-11 20:00:00 +0100,32934,23.6,88.8
"
            ",Defense,,30,1842,8206,42,309,Success,2948,49,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,57.2,94.6
"
            ",Defense,,31,1877,2074,17,309,Fouled,544,49,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,97.2,26.0
"
            ",Defense,,33,2008,87,28,49,Success,15280,309,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,7.1,95.8
"
            ",Defense,,33,2023,10560,43,49,Failed,11309,309,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,45.5,31.1
"
            ",Defense,,34,2070,9470,30,49,Fouled,15280,309,7,30 - 35,data/epl,2017-09-11 20:00:00 +0100,32934,74.6,68.4
"
            ",Defense,,36,2182,544,22,49,Success,2074,309,8,35 - 40,data/epl,2017-09-11 20:00:00 +0100,32934,7.2,97.8
